id	title	question	answer	response_question	response_answer	statement
56ce304daab44d1400b8850e	New_York_City	What city in the United States has the highest population?	New York	What city in the United States has the highest population?	new york	new york city has the highest population in the united states
56ce304daab44d1400b8850f	New_York_City	In what city is the United Nations based?	New York	in what city is the united nations based?	new york	the united nations is based in New York
56ce304daab44d1400b88510	New_York_City	What city has been called the cultural capital of the world?	New York	what city has been called the cultural capital of the world?	new york	new york has been called the cultural capital of the world
56ce304daab44d1400b88511	New_York_City	What American city welcomes the largest number of legal immigrants?	New York	What American city welcomes the largest number of legal immigrants?	new york	new york welcomes the largest number of legal immigrants
56cf5d41aab44d1400b89130	New_York_City	The major gateway for immigration has been which US city?	New York City	the major gateway for immigration has been which US city?	new york city	the major gateway for immigration has been in new york city
56cf5d41aab44d1400b89131	New_York_City	The most populated city in the United States is which city?	New York City	the most populated city in the united states is which city?	new york city	the most populated city in the united states is new york city
56ce3124aab44d1400b8852a	New_York_City	How many boroughs comprise New York City?	five	How many boroughs comprise New York City?	five	New York City comprise -s five borough -s
56ce3124aab44d1400b8852b	New_York_City	In what year were the five boroughs combined into one city?	1898	in what year were the five borough -s combined into one city?	1898	the five borough -s were combined into one city in 1898
56ce3124aab44d1400b8852c	New_York_City	In 2014, what did the census estimate the population of New York City to be?	8,491,079	in what year were the five borough -s combined into one city?	8,491,079	the census estimated the population of New York City to be 8,491,079
56ce3124aab44d1400b8852d	New_York_City	What is the size of New York City in square miles?	305	what is the size of New York City in square miles?	305	New York City is 305 square miles
56ce3124aab44d1400b8852e	New_York_City	What is the population of New York's Combined Statistical Area?	23.6 million	what is the population of New York’s Combined Statistical Area?	23.6 million	New York’s Combined Statistical Area has a population of 23.6 million
56cf9d81234ae51400d9be1b	New_York_City	How man boroughs does New York City contain?	five	How man boroughs does New York City contain?	five	New York City contains five borough -s
56cf9d81234ae51400d9be1c	New_York_City	The five boroughs of New York City are named what?	Brooklyn, Queens, Manhattan, the Bronx, and Staten Island	the five boroughs of New York City are named what?	brooklyn, queens, manhattan, the bronx, and staten island	the five borough -s of New York City are named brooklyn, queens, manhattan, the bron
56cf9d81234ae51400d9be1d	New_York_City	All five boroughs of New York City formed into one city on what date?	1898	all five borough -s of New York City formed into one city on what date?	1898	the five borough -s of New York City formed into one city on 1898
56cf9d81234ae51400d9be1e	New_York_City	What is the population of New York City as of 2014?	8,491,079	what is the population of New York City as of 2014?	8,491,079	the population of New York City was 8,491,079 as of 201
56cf9d81234ae51400d9be1f	New_York_City	How many languages are spoken by the people of New York City?	800	how many languages are spoken by the people of New York City?	800	the people of New York City speak 800 languages
56ce31baaab44d1400b8853a	New_York_City	What was the trading post that preceded New York City called?	New Amsterdam	What was the trading post that preceded New York City called?	New Amsterdam	the trading post that preceded New York City was called New Amsterdam
56ce31baaab44d1400b8853b	New_York_City	What nation founded New Amsterdam?	the Dutch Republic	What nation founded New Amsterdam?	the Dutch Republic	the Dutch Republic founded New Amsterdam
56ce31baaab44d1400b8853c	New_York_City	In what year did New York become the largest city in the United States?	1790	in what year did New York become the largest city in the United States?	1790	New York became the largest city in the United States in 1790
56ce31baaab44d1400b8853d	New_York_City	When did the English take over the area from the Dutch?	1664	when did the English take over the area from the Dutch?	1664	the English took over the area from the Dutch in 1664
56ce31baaab44d1400b8853e	New_York_City	In what year did New York cease the be the capital of the United States?	1790	in what year did New York cease the be the capital of the United States?	1790	New York ceased the be the capital of the United States in 1790
56cf9df0234ae51400d9be25	New_York_City	When was New York City established?	1624	When was New York City established?	1624	New York City was established in 1624
56cf9df0234ae51400d9be26	New_York_City	New Amsterdam became the title of New York City in what past date?	1626	New Amsterdam became the title of New York City in what past date?	1626	New Amsterdam became the title of New York City in 1626
56cf9df0234ae51400d9be27	New_York_City	The English occupied New York City beginning on what date?	1664	the English occupied New York City beginning on what date?	1664	the English occupied New York City beginning on date 1664
56cf9df0234ae51400d9be29	New_York_City	New York City is the biggest city in the United States since what historical date?	1790	New York City is the biggest city in the United States since what historical date?	1790	New York City is the biggest city in the United States since 1790
56ce32e7aab44d1400b88550	New_York_City	How many tourists visited New York in 2014?	56 million	how many tourists visited New York in 2014?	56 million	fifty-six million tourists visited New York in 2014
56ce32e7aab44d1400b88551	New_York_City	How many stations are operated by the New York City Subway?	469	how many stations are operated by the New York City Subway?	469	the New York City Subway operates 469 station -s
56ce32e7aab44d1400b88552	New_York_City	In what borough is Wall Street located?	Manhattan	in what borough is Wall Street located?	Manhattan	Wall Street is located in the borough of Manhattan
56cf9f16234ae51400d9be30	New_York_City	How many school and universities are in NYC?	120	how many school and universities are in nyc?	120	there are 120 school -s and universities in nyc
56cf9f16234ae51400d9be31	New_York_City	NYC has the two largest stock exchanges in the world which are called what?	New York Stock Exchange and NASDAQ	NYC has the two largest stock exchanges in the world which are called what?	the new york stock exchange and nasdaq	nyc has the two largest stock exchanges in the world which are called the new york stock exchange and nasdaq
56ce3348aab44d1400b88560	New_York_City	What island was once a part of Long Island?	Staten Island	What island was once a part of Long Island?	staten island	staten island was once a part of long island
56ce3348aab44d1400b88561	New_York_City	During what period was the area around New York City located at the edge of an ice sheet 1,000 feet deep?	the Wisconsinan glaciation	during what period was the area around New York City located at the edge of an ice sheet 1,000 feet deep?	the Wisconsinan glaciation	the area around New York City was located at the edge of an ice sheet
56cf9f4b234ae51400d9be35	New_York_City	Long Island and Staten Island were split in half by what geographical phenomenon?	ice sheet	long island and staten island were split in half by what geographical phenomenon?	ice sheet	long island and staten island were split in half by the ice sheet
56ce33aaaab44d1400b8856a	New_York_City	What was the name of the Lenape homeland?	Lenapehoking	What was the name of the Lenape homeland?	lenapehoking	the lenape homeland was called lenapehoking
56ce345caab44d1400b88580	New_York_City	In what year did the first European arrive in the New York area?	1524	in what year did the first European arrive in the New York area?	1524	the first European arrived in the New York area in 1524
56ce345caab44d1400b88581	New_York_City	What was the name of the first European who arrived in the New York area?	Giovanni da Verrazzano	what was the name of the first European who arrived in the new york area?	Giovanni da Verrazzano	Giovanni da Verrazzano was the first european to arrive in the new york area
56ce345caab44d1400b88582	New_York_City	What was the name of Giovanni da Verrazzano's ship?	La Dauphine	What was the name of Giovanni da Verrazzano's ship?	la dauphine	Giovanni da Verrazzano’s ship was la dauphine
56ce345caab44d1400b88583	New_York_City	What nation did Giovanni da Verrazzano serve?	France	What nation did Giovanni da Verrazzano serve?	france	giovanni da verrazzano served in France
56ce345caab44d1400b88584	New_York_City	What did Giovanni da Verrazzano call the area when he staked claim on it?	Nouvelle Angoulême	what did Giovanni da Verrazzano call the area when he staked claim on it?	nouvelle Angoulême	Giovanni da Verrazzano called the area nouvelle Angoulême
56cfa06a234ae51400d9be39	New_York_City	When was the first European to visit the area of NYC?	1524	when was the first European to visit the area of nyc?	1524	the first European to visit the area of nyc arrived in 1524
56cfa06a234ae51400d9be3a	New_York_City	Giovanni da Verrazzano's ship that sailed to New York was named what?	La Dauphine	Giovanni da Verrazzano's ship that sailed to New York was named what?	la dauphine	the Basilica of the Sacred Heart at Notre Dame is beside to which structure?
56cfa06a234ae51400d9be3b	New_York_City	Giovani da Verrazzano was an explorer from which country?	France	Giovani da Verrazzano was an explorer from which country?	france	giovani da verrazzano was an explorer from the country of france
56ce34c7aab44d1400b88594	New_York_City	In what year did a Spanish expedition visit New York Harbor?	1525	in what year did a Spanish expedition visit New York Harbor?	1525	a Spanish expedition visited New York Harbor in 1525
56ce34c7aab44d1400b88595	New_York_City	Who commanded the Spanish expedition?	Estêvão Gomes	who commanded the Spanish expedition?	estêvão gomes	estêvão gomes commanded the Spanish expedition
56ce34c7aab44d1400b88596	New_York_City	What was the nationality of Estêvão Gomes?	Portuguese	what was the nationality of estêvão gomes?	portuguese	estêvão gomes was of Portuguese nationality
56ce34c7aab44d1400b88597	New_York_City	What monarch did Estêvão Gomes serve?	Charles V	what monarch did estêvão gomes serve?	charles v	estêvão gomes served charles v
56ce34c7aab44d1400b88598	New_York_City	What was the name of Estêvão Gomes's ship?	La Anunciada	what was the name of Estêvão Gomes's ship?	la anunciada	Estêvão Gomes's ship was named la anunciada
56cfa4d8234ae51400d9be3f	New_York_City	The front of the Hudson River was named what by Estevao Gomes?	Rio de San Antonio	the front of the Hudson River was named what by estevao gomes?	rio de san antonio	the front of the Hudson River was named rio de san antonio by estevao gomes
56cfa4d8234ae51400d9be40	New_York_City	What was the first map to show the whole North American East coast?	Padrón Real	what was the first map to show the whole North American East coast?	the padrón real	the padrón real showed the whole North American East coast
56ce3569aab44d1400b885aa	New_York_City	What was the name of the explorer who visited the area in 1609?	Henry Hudson	what was the name of the explorer who visited the area in 1609?	henry hudson	the explorer henry hudson visited the area in 1609
56ce3569aab44d1400b885ab	New_York_City	Who was Henry Hudson working for?	Dutch East India Company	who was henry hudson working for?	Dutch East India Company	henry hudson was working for the Dutch East India Company
56ce3569aab44d1400b885ac	New_York_City	In what year did the Netherlands claim the area between Delaware Bay and Cape Cod?	1614	in what year did the netherlands claim the area between Delaware Bay and Cape Cod?	1614	the netherlands claimed the area between Delaware Bay and Cape Cod in 1614
56ce3569aab44d1400b885ad	New_York_City	How many days did Henry Hudson spend exploring the region?	ten	how many days did henry hudson spend exploring the region?	ten	henry hudson spent ten days exploring the region
56ce3569aab44d1400b885ae	New_York_City	What did Henry Hudson call the river that is now called the Hudson River?	North River	what did Henry Hudson call the river that is now called the Hudson River?	the North River	henry hudson called the river now called the hudson river the North River
56cfab96234ae51400d9be43	New_York_City	Henry Hudson worked for which company in the 1600s?	Dutch East India Company	Henry Hudson worked for which company in the 1600s?	Dutch East India Company	Henry Hudson worked for the Dutch East India Company
56cfab96234ae51400d9be44	New_York_City	In what year was the land between Cape Cod and Delaware Bay claimed by the Dutch?	1614	in what year was the land between Cape Cod and Delaware Bay claimed by the Dutch?	1614	the land between Cape Cod and Delaware Bay was claimed by the Dutch in 1614
56cfab96234ae51400d9be45	New_York_City	Which explorer sailed his ship into New York harbor in 1609?	Henry Hudson	which explorer sailed his ship into New York harbor in 1609?	henry hudson	henry hudson sailed his ship into New York harbor in 1609
56ce362aaab44d1400b885bc	New_York_City	Where was Juan Rodriguez born?	Santo Domingo	where was Juan Rodriguez born?	Santo Domingo	Juan Rodriguez was born in Santo Domingo
56ce362aaab44d1400b885bd	New_York_City	What did the Dutch call Juan Rodriguez?	Jan Rodrigues	what did the Dutch call Juan Rodriguez?	jan rodrigues	the dutch called juan rodriguez jan rodrigues
56ce362aaab44d1400b885be	New_York_City	What was Juan Rodriguez's occupation?	trader	What was Juan Rodriguez's occupation?	trader	juan rodríguez was a trader
56ce362aaab44d1400b885bf	New_York_City	What is the street that is named after Juan Rodriguez?	Juan Rodriguez Way	what is the street that is named after Juan Rodriguez?	juan rodríguez way	the street is named after juan rodríguez way
56ce362aaab44d1400b885c0	New_York_City	During what season did Juan Rodriguez first come to New York?	winter	during what season did juan rodriguez first come to new york?	winter	juan rodriguez first came to new york during the winter season
56cfabed234ae51400d9be49	New_York_City	Who was the first non-Indian person to live in what is now NYC?	Juan Rodriguez	who was the first non-Indian person to live in what is now nyc?	juan rodríguez	juan rodríguez was the first non-indian person to live in what is now nyc
56cfabed234ae51400d9be4b	New_York_City	Which street in NYC today is now named after Juan Rodriguez?	Broadway, from 159th Street to 218th Street	which street in nyc today is now named after juan rodriguez?	broadway, from 159th street to 218th street	broadway, from 159th street to 218th street is
56cedbb9aab44d1400b88b0f	New_York_City	On what island did the Dutch set up a settlement to trade furs?	Governors Island	on what island did the dutch set up a settlement to trade furs?	governors Island	the dutch set up a settlement to trade furs on Governors Island
56cedbb9aab44d1400b88b10	New_York_City	On what island was Fort Amsterdam built?	Manhattan Island	on what island was fort Amsterdam built?	manhattan island	fort Amsterdam was built on Manhattan Island
