id	title	question	answer	statement
56ce304daab44d1400b8850e	New_York_City	What city in the United States has the highest population?	New York	New York is the city in the United States with the highest population
56ce304daab44d1400b8850f	New_York_City	In what city is the United Nations based?	New York	the united nations is based in New York
56ce304daab44d1400b88510	New_York_City	What city has been called the cultural capital of the world?	New York	New York has been called the cultural capital of the world
56ce304daab44d1400b88511	New_York_City	What American city welcomes the largest number of legal immigrants?	New York	New York welcomes the largest number of legal immigrant –s
56cf5d41aab44d1400b89130	New_York_City	The major gateway for immigration has been which US city?	New York City	the major gateway for immigration has been New York City
56cf5d41aab44d1400b89131	New_York_City	The most populated city in the United States is which city?	New York City	the most populated city in the United States is New York City
56ce3124aab44d1400b8852a	New_York_City	How many boroughs comprise New York City?	five	the five borough -s comprise New York City
56ce3124aab44d1400b8852b	New_York_City	In what year were the five boroughs combined into one city?	1898	the five borough -s were combined into one city in 1898
56ce3124aab44d1400b8852c	New_York_City	In 2014, what did the census estimate the population of New York City to be?	8,491,079	the population of New York City was estimated to be 8,491,079 in 2014
56ce3124aab44d1400b8852d	New_York_City	What is the size of New York City in square miles?	305	New York City is 305 square mile -s
56ce3124aab44d1400b8852e	New_York_City	What is the population of New York's Combined Statistical Area?	23.6 million	New York’s Combined Statistical Area has a population of 23.6 million
56cf9d81234ae51400d9be1b	New_York_City	How man boroughs does New York City contain?	five	New York City contains five borough -s
56cf9d81234ae51400d9be1c	New_York_City	The five boroughs of New York City are named what?	Brooklyn, Queens, Manhattan, the Bronx, and Staten Island	the five borough -s of New York City are named Brooklyn Queens Manhattan the Bronx and Staten Island
56cf9d81234ae51400d9be1d	New_York_City	All five boroughs of New York City formed into one city on what date?	1898	the five borough -s of New York City formed into one city on 1898
56cf9d81234ae51400d9be1e	New_York_City	What is the population of New York City as of 2014?	8,491,079	the eight million –four hundred –ninety –one thousand –seven hundred and ninety –one people is the population of New York City as of 2014
56cf9d81234ae51400d9be1f	New_York_City	How many languages are spoken by the people of New York City?	800	the eight hundred language -s are spoken by the people of New York City
56ce31baaab44d1400b8853a	New_York_City	What was the trading post that preceded New York City called?	New Amsterdam	New Amsterdam was the trading post that preceded New York City
56ce31baaab44d1400b8853b	New_York_City	What nation founded New Amsterdam?	the Dutch Republic	the Dutch Republic founded New Amsterdam
56ce31baaab44d1400b8853c	New_York_City	In what year did New York become the largest city in the United States?	1790	New York became the largest city in the United States in 1790
56ce31baaab44d1400b8853d	New_York_City	When did the English take over the area from the Dutch?	1664	the English took over the area from the Dutch in 1664
56ce31baaab44d1400b8853e	New_York_City	In what year did New York cease the be the capital of the United States?	1790	New York ceased to be the capital of the United States in 1790
56cf9df0234ae51400d9be25	New_York_City	When was New York City established?	1624	New York City was established in 1624
56cf9df0234ae51400d9be26	New_York_City	New Amsterdam became the title of New York City in what past date?	1626	New Amsterdam became the title of New York City in 1626
56cf9df0234ae51400d9be27	New_York_City	The English occupied New York City beginning on what date?	1664	the English occupied New York City beginning on 1664
56cf9df0234ae51400d9be29	New_York_City	New York City is the biggest city in the United States since what historical date?	1790	New York City is the biggest city in the United States since 1790
56ce32e7aab44d1400b88550	New_York_City	How many tourists visited New York in 2014?	56 million	the 56 million tourist -s visited New York in 2014
56ce32e7aab44d1400b88551	New_York_City	How many stations are operated by the New York City Subway?	469	the four hundred – sixty – nine station -s are operated by the New York City Subway
56ce32e7aab44d1400b88552	New_York_City	In what borough is Wall Street located?	Manhattan	Wall Street is located in the Manhattan borough
56cf9f16234ae51400d9be30	New_York_City	How many school and universities are in NYC?	120	the one hundred –twenty school -s and university -s are in NYC
56cf9f16234ae51400d9be31	New_York_City	NYC has the two largest stock exchanges in the world which are called what?	New York Stock Exchange and NASDAQ	NYC has the two largest stock exchange -s in the world which are called the New York Stock Exchange and NASDAQ
56ce3348aab44d1400b88560	New_York_City	What island was once a part of Long Island?	Staten Island	the Staten Island was once a part of Long Island
56ce3348aab44d1400b88561	New_York_City	During what period was the area around New York City located at the edge of an ice sheet 1,000 feet deep?	the Wisconsinan glaciation	the Wisconsinan glaciation was during a period when the area around New York City was located at the edge of an ice sheet 1,000 feet deep
56cf9f4b234ae51400d9be35	New_York_City	Long Island and Staten Island were split in half by what geographical phenomenon?	ice sheet	Long Island and Staten Island were split in half by the ice sheet
56ce33aaaab44d1400b8856a	New_York_City	What was the name of the Lenape homeland?	Lenapehoking	the Lenapehoking was the Lenape homeland
56ce345caab44d1400b88580	New_York_City	In what year did the first European arrive in the New York area?	1524	the first European arrived in the new york area in 1524
56ce345caab44d1400b88581	New_York_City	What was the name of the first European who arrived in the New York area?	Giovanni da Verrazzano	Giovanni da Verrazzano was the first European to arrive in the New York area
56ce345caab44d1400b88582	New_York_City	What was the name of Giovanni da Verrazzano's ship?	La Dauphine	Giovanni da Verrazzano’s ship was La Dauphine
56ce345caab44d1400b88583	New_York_City	What nation did Giovanni da Verrazzano serve?	France	Giovanni da Verrazzano served the France
56ce345caab44d1400b88584	New_York_City	What did Giovanni da Verrazzano call the area when he staked claim on it?	Nouvelle Angoulême	Giovanni da Verrazzano called the area when he staked claim on it Nouvelle Angoulême
56cfa06a234ae51400d9be39	New_York_City	When was the first European to visit the area of NYC?	1524	the first European to visit the area of NYC was in 1524
56cfa06a234ae51400d9be3a	New_York_City	Giovanni da Verrazzano's ship that sailed to New York was named what?	La Dauphine	Giovanni da Verrazzano’s ship that sailed to New York was named La Dauphine
